date,count_year,observed_cumulative_cases,observed_annual_cases,autoarimax_fitted_annual_cases,autoarimax_fitted_cumulative_cases,ci_lower_95,ci_upper_95
1997-01-01,1996,75641.0,492.0,97.24615314812168,75246.24615314812,75149.0,75612.36811764349
1998-01-01,1997,75782.0,141.0,96.94002251002092,75343.18617565815,75187.00123271676,75703.44228155068
1999-01-01,1998,75882.0,100.0,96.63484576135586,75439.8210214195,75223.5389201025,75875.8555802824
2000-01-01,1999,75981.0,99.0,96.33061992984946,75536.15164134935,75270.98330763211,76036.03717998078
2001-01-01,2000,76066.0,85.0,96.02734205248622,75632.17898340183,75318.95136834033,76176.0388128571
2002-01-01,2001,76182.0,116.0,95.72500917548324,75727.90399257731,75370.62916824663,76316.84742345565
2003-01-01,2002,76226.0,44.0,95.42361835426146,75823.32761093158,75424.91519203447,76444.06545983104
2004-01-01,2003,76282.0,56.0,95.12316665341706,75918.45077758499,75484.54114799571,76576.60640663738
2005-01-01,2004,76319.0,37.0,94.82365114669274,76013.27442873169,75543.8547914773,76702.46282725505
2006-01-01,2005,76385.0,66.0,94.52506891694931,76107.79949764864,75603.72533551136,76833.62336353224
2007-01-01,2006,76440.0,55.0,94.22741705613726,76202.02691470478,75667.18795354875,76975.10651652963
2008-01-01,2007,76483.0,43.0,93.93069266526842,76295.95760737004,75730.08433683103,77096.6649873993
2009-01-01,2008,76623.0,140.0,93.63489285438779,76389.59250022443,75793.4587203432,77207.35110981761
2010-01-01,2009,76695.0,72.0,93.34001474254535,76482.93251496697,75856.85317713018,77331.2975588296
2011-01-01,2010,76758.0,63.0,93.04605545776778,76575.97857042475,75920.27395254305,77456.27344723052
2012-01-01,2011,76978.0,220.0,92.75301213703094,76668.73158256177,75986.02098717513,77570.41096870786
2013-01-01,2012,77033.0,55.0,92.46088192623168,76761.192464488,76063.12563452602,77689.99929782838
2014-01-01,2013,77220.0,187.0,92.1696619801601,76853.36212646817,76128.87034152637,77805.28905298897
2015-01-01,2014,77887.0,667.0,667.070787216076,77520.43291368424,76767.27364199543,78491.41597293956
2016-01-01,2015,78078.0,191.0,91.58994154566047,77612.02285522991,76833.93103896455,78616.90399305632
2017-01-01,2016,78164.0,86.0,91.30143541102993,77703.32429064093,76902.78490954991,78722.38868039445
2018-01-01,2017,78284.0,120.0,91.01382824866712,77794.3381188896,76966.69588375113,78827.7400839165
2019-01-01,2018,78665.0,381.0,90.72711725741448,77885.06523614701,77037.42124358632,78941.78379282064
2020-01-01,2019,79939.0,1274.0,1274.0644498706174,79159.12968601764,78294.86726209239,80241.52878788716
2021-01-01,2020,79952.0,13.0,90.15637262722367,79249.28605864485,78364.26346651024,80358.95843678628
2022-01-01,2021,80001.0,49.0,89.87233342950314,79339.15839207436,78423.01507829063,80460.06045865802
2023-01-01,2022,80122.0,121.0,89.58917928527383,79428.74757135964,78495.97187011295,80569.43725413688
2024-01-01,2023,80181.0,59.0,89.30690743674849,79518.05447879639,78570.39960183065,80680.82954822032
2025-01-01,2024,80466.0,285.0,89.02551513473298,79607.07999393111,78634.4723005491,80786.92000679555
2026-01-01,2025,82751.0,2285.0,2284.963535373693,81892.0435293048,80900.76056214653,83095.72408646505
