mm_yr,count_year,cases,cumulative_cases,fitted_cumulative_cases,ci_lower_95,ci_upper_95
1997-01-01,1996,492,75641,75677.36944690777,75439.33223905945,75916.15774454759
1998-01-01,1997,141,75782,75760.42292251418,75541.80791292433,75979.67059531051
1999-01-01,1998,100,75882,75843.56754663511,75643.55850722337,76044.10542970039
2000-01-01,1999,99,75981,75926.80341930316,75744.31168809831,76109.73483015149
2001-01-01,2000,85,76066,76010.13064066067,75843.69861221084,76176.92788890596
2002-01-01,2001,116,76182,76093.54931095974,75941.23049801416,76246.17363674234
2003-01-01,2002,44,76226,76177.05953056291,76036.29150941854,76318.08815931166
2004-01-01,2003,56,76282,76260.66139994246,76128.179011317,76393.37434161048
2005-01-01,2004,37,76319,76344.35501968105,76216.2268085209,76472.69862904685
2006-01-01,2005,66,76385,76428.14049047178,76300.00318173747,76556.49299146305
2007-01-01,2006,55,76440,76512.0179131182,76379.48076983941,76644.78504086626
2008-01-01,2007,43,76483,76595.9873885345,76455.04458909368,76737.1900122004
2009-01-01,2008,140,76623,76680.04901774565,76527.33180376755,76833.07099274045
2010-01-01,2009,72,76695,76764.20290188746,76597.03232474663,76931.73832347478
2011-01-01,2010,63,76758,76848.44914220675,76664.75913739826,77032.57927124242
2012-01-01,2011,220,76978,76932.78784006131,76731.00250749949,77135.10382280503
2013-01-01,2012,55,77033,77017.21909692058,76796.13402778543,77238.94063830026
2014-01-01,2013,187,77220,77101.74301436497,76860.42875746163,77343.8149117281
2015-01-01,2014,667,77887,78044.88051156429,77795.82972267817,78294.7285963423
2016-01-01,2015,191,78078,78130.53225431306,77884.82218773314,78377.01748394944
2017-01-01,2016,86,78164,78216.2779970909,77971.51978181001,78461.80452603445
2018-01-01,2017,120,78284,78302.1178430598,78055.8788145888,78549.13366964085
2019-01-01,2018,381,78665,78388.05189549498,78137.92702146395,78638.97743643635
2020-01-01,2019,1274,79939,79891.76618081708,79657.73477222149,80126.48516482976
2021-01-01,2020,13,79952,79979.44482110473,79750.556323668,80208.99024115958
2022-01-01,2021,49,80001,80067.21968587604,79840.83586207546,80294.24540721094
2023-01-01,2022,121,80122,80155.0908807346,79928.46745978849,80382.35685340919
2024-01-01,2023,59,80181,80243.05851139942,80013.44185782725,80473.33410184988
2025-01-01,2024,285,80466,80331.1226837057,80095.84705286857,80567.08941931922
2026-01-01,2025,2285,82751,82750.95793996529,82189.05336587901,83316.7041053274
