mm_yr,count_year,cases,cumulative_cases,fitted_cumulative_cases,ci_lower_95,ci_upper_95
1997-01-01,1996,492,75641,75677.7581309679,75439.72339981791,75916.54393238538
1998-01-01,1997,141,75782,75760.77599993792,75542.16338489759,75980.02126134835
1999-01-01,1998,100,75882,75843.8849388171,75643.87819880868,76044.42050808443
2000-01-01,1999,99,75981,75927.08504750863,75744.59551055878,76110.01425188125
2001-01-01,2000,85,76066,76010.37642602492,75843.94648089983,76177.17158060863
2002-01-01,2001,116,76182,76093.75917448818,75941.44233414369,76246.38151890447
2003-01-01,2002,44,76226,76177.23339313036,76036.4672425277,76318.26014380918
2004-01-01,2003,56,76282,76260.79918229373,76128.31858237866,76393.51032860311
2005-01-01,2004,37,76319,76344.45664243029,76216.3301729138,76472.79850400452
2006-01-01,2005,66,76385,76428.20587410216,76300.0703101799,76556.55662423166
2007-01-01,2006,55,76440,76512.04697798225,76379.51164527162,76644.81228878567
2008-01-01,2007,43,76483,76595.98005485344,76455.03919994282,76737.18072683814
2009-01-01,2008,140,76623,76680.00520560936,76527.29013691483,76833.02502692436
2010-01-01,2009,72,76695,76764.12253125414,76596.95436114885,76931.6555356708
2011-01-01,2010,63,76758,76848.33213290315,76664.64485074952,77032.45952689309
2012-01-01,2011,220,76978,76932.63411178224,76730.85186475309,77134.94699380668
2013-01-01,2012,55,77033,77017.02856922835,76795.94699036135,77238.74660179413
2014-01-01,2013,187,77220,77101.51560668995,76860.2052824921,77343.58354885603
2015-01-01,2014,667,77887,78044.18442394072,77795.13826061178,78294.02786063217
2016-01-01,2015,191,78078,78129.79824280103,77884.09282272212,78376.27880387816
2017-01-01,2016,86,78164,78215.50597930585,77970.75249744032,78461.0277526777
2018-01-01,2017,120,78284,78301.30773648234,78055.07359934792,78548.31864887933
2019-01-01,2018,381,78665,78387.20361747024,78137.0838659923,78638.12401170298
2020-01-01,2019,1274,79939,79890.74722984064,79656.72075787741,80125.46125696629
2021-01-01,2020,13,79952,79978.38671268533,79749.50308292899,80207.92724579462
2022-01-01,2021,49,80001,80066.12233531117,79839.7433949276,80293.14315431897
2023-01-01,2022,121,80122,80153.95420318253,79927.33577488242,80381.21516399729
2024-01-01,2023,59,80181,80241.88242187994,80012.27096805678,80472.15279238037
2025-01-01,2024,285,80466,80329.90709709929,80094.63697066683,80565.86830641176
2026-01-01,2025,2285,82751,82751.00000000047,82189.10388794723,83316.7375852637
