order,n,m,aic,min_arma_p_value,max_arma_p_value,arma_p_values,all_arma_p_values_below_0_05,ljung_box_min_p_value,ljung_box_result,converged,selection_error,selected,selection_rule
"(0, 0, 0)",0,0,133.96599251513567,,,,False,1.5724063172211996e-10,residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(0, 0, 1)",0,1,110.85420378757091,0.00023618887382522694,0.00023618887382522694,ma.L1=0.0002362,True,0.0003905693590145438,residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(0, 0, 2)",0,2,104.83994636443052,0.05689170924276578,0.29575986789956765,ma.L1=0.05689; ma.L2=0.2958,False,0.0006917381111000992,residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(0, 0, 3)",0,3,98.3641735932779,0.1485766221338043,0.4883278657147272,ma.L1=0.1486; ma.L2=0.4883; ma.L3=0.261,False,0.00015181708105814717,residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(0, 0, 4)",0,4,94.66812691077224,0.04202775034732142,0.5374967484927577,ma.L1=0.04203; ma.L2=0.2771; ma.L3=0.2837; ma.L4=0.5375,False,3.413199874648185e-05,residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(1, 0, 0)",1,0,93.5448337449147,9.666105909272674e-07,9.666105909272674e-07,ar.L1=9.666e-07,True,0.32873827550674894,no residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(1, 0, 1)",1,1,80.1609156411493,5.680546735454221e-105,0.9989180164741762,ar.L1=5.681e-105; ma.L1=0.9989,False,0.4803795151685837,no residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(1, 0, 2)",1,2,80.51001466980618,3.430963769389918e-72,0.9998608511740756,ar.L1=3.431e-72; ma.L1=0.9999; ma.L2=0.9999,False,0.49020969313852314,no residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(1, 0, 3)",1,3,80.6588044753635,2.1013487482731464e-34,0.9998241224359314,ar.L1=2.101e-34; ma.L1=0.9998; ma.L2=0.9998; ma.L3=0.9998,False,0.4843029038717943,no residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(1, 0, 4)",1,4,80.86214229632796,0.0006105648896921696,0.922595900717885,ar.L1=0.0006106; ma.L1=0.8933; ma.L2=0.7122; ma.L3=0.9226; ma.L4=0.8862,False,0.3881399287256516,no residual autocorrelation detected at alpha=0.05,False,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(2, 0, 0)",2,0,88.8007283473203,0.011670782875909481,0.035993478136838376,ar.L1=0.01167; ar.L2=0.03599,True,0.5088234335893569,no residual autocorrelation detected at alpha=0.05,True,,True,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(2, 0, 1)",2,1,82.13372286757843,9.354535292289123e-06,0.8607878731216372,ar.L1=9.355e-06; ar.L2=0.8608; ma.L1=0.8287,False,0.6029274116237985,no residual autocorrelation detected at alpha=0.05,False,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(2, 0, 2)",2,2,82.07854237626933,0.9196846317420195,0.9994323974672966,ar.L1=0.9353; ar.L2=0.9197; ma.L1=0.9994; ma.L2=0.9988,False,0.3275294420009087,no residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(2, 0, 3)",2,3,82.32639754349141,0.8362849533529912,0.981495113572641,ar.L1=0.8363; ar.L2=0.8689; ma.L1=0.9815; ma.L2=0.9697; ma.L3=0.9692,False,0.44378404706142005,no residual autocorrelation detected at alpha=0.05,False,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(2, 0, 4)",2,4,82.64999099112619,0.031572924842817575,0.9972377281640761,ar.L1=0.8873; ar.L2=0.03157; ma.L1=0.9972; ma.L2=0.9599; ma.L3=0.9972; ma.L4=0.9675,False,0.10780843404967312,no residual autocorrelation detected at alpha=0.05,False,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
"(3, 0, 0)",3,0,84.71567376787658,0.03411286462963627,0.5461120510516155,ar.L1=0.03411; ar.L2=0.5461; ar.L3=0.1495,False,0.08210467050998017,no residual autocorrelation detected at alpha=0.05,True,,False,lowest AIC among non-white-noise ARMA candidates with all AR/MA p-values < 0.05 and Ljung-Box min p-value > 0.05
