date,count_year,observed_cumulative_cases,observed_annual_cases,arimax_fitted_annual_cases,arimax_fitted_cumulative_cases,ci_lower_95,ci_upper_95
1997-01-01,1996,75641.0,492.0,492.0,75641.0,75149.0,76627.1588980502
1998-01-01,1997,75782.0,141.0,141.0,75782.0,75315.3222270294,76750.87563722949
1999-01-01,1998,75882.0,100.0,116.2181816793138,75898.21818167932,75413.33615565194,76930.56309580317
2000-01-01,1999,75981.0,99.0,64.67340423281563,75962.89158591213,75483.09394472752,77094.70263423996
2001-01-01,2000,76066.0,85.0,58.76934214272979,76021.66092805486,75534.50706246967,77363.0175501604
2002-01-01,2001,76182.0,116.0,57.293704651681864,76078.95463270655,75581.48360926704,77532.59078356951
2003-01-01,2002,76226.0,44.0,64.09735646111858,76143.05198916767,75630.69313284016,77788.69513992904
2004-01-01,2003,76282.0,56.0,50.44758759549216,76193.49957676315,75661.17808254762,77954.60799785367
2005-01-01,2004,76319.0,37.0,39.90754679586984,76233.40712355902,75693.2199616258,78080.19596147195
2006-01-01,2005,76385.0,66.0,38.485658458849095,76271.89278201787,75731.69702456784,78212.41254363714
2007-01-01,2006,76440.0,55.0,43.49709222700132,76315.38987424487,75763.16157666541,78341.23323038271
2008-01-01,2007,76483.0,43.0,52.570930708673636,76367.96080495355,75799.347622373,78503.6190268723
2009-01-01,2008,76623.0,140.0,46.15176163787183,76414.11256659142,75828.87524818162,78651.03744234376
2010-01-01,2009,76695.0,72.0,71.47603464969677,76485.58860124112,75882.05886285454,78811.4735958906
2011-01-01,2010,76758.0,63.0,89.10749282052728,76574.69609406164,75942.18857061239,78968.71593206588
2012-01-01,2011,76978.0,220.0,68.0005975233145,76642.69669158496,75986.72730595841,79146.09806407602
2013-01-01,2012,77033.0,55.0,113.10578940760041,76755.80248099256,76074.06522200977,79345.8552191639
2014-01-01,2013,77220.0,187.0,107.6548401088752,76863.45732110144,76154.22387055444,79521.49593169849
2015-01-01,2014,77887.0,667.0,899.0145698425016,77762.47189094394,76954.79406480667,80482.36697184345
2016-01-01,2015,78078.0,191.0,128.60411729014086,77891.07600823407,77062.1134880025,80694.6983972638
2017-01-01,2016,78164.0,86.0,138.47608641586356,78029.55209464993,77180.90511427226,80893.3086420941
2018-01-01,2017,78284.0,120.0,144.61945199072537,78174.17154664066,77297.09647977015,81125.95491069948
2019-01-01,2018,78665.0,381.0,127.19879962780973,78301.37034626848,77390.99629607245,81353.99535239603
2020-01-01,2019,79939.0,1274.0,243.0434995879443,78544.41384585641,77601.47031771661,81643.62259737743
2021-01-01,2020,79952.0,13.0,650.9866222382416,79195.40046809465,78178.56042565673,82338.1048175103
2022-01-01,2021,80001.0,49.0,166.31899813475823,79361.71946622942,78333.34453519859,82547.05742855398
2023-01-01,2022,80122.0,121.0,50.880170608743015,79412.59963683816,78376.6048893063,82673.0360606661
2024-01-01,2023,80181.0,59.0,126.68729206774037,79539.2869289059,78489.16313229984,82843.12894957581
2025-01-01,2024,80466.0,285.0,138.9165620653861,79678.20349097128,78611.02126250838,83021.43866858906
2026-01-01,2025,82751.0,2285.0,1728.8684381729927,81407.07192914428,80268.89231463021,84829.59655893948
